Datasheet,Part Number,Designator,Footprint,LCSC Part
https://datasheet.lcsc.com/lcsc/1809291612_Texas-Instruments-TXB0102DCUR_C60709.pdf,TXB0102DCUR,U15,VSSOP-8_2.0x2.3x0.5P,C60709
https://datasheet.lcsc.com/lcsc/2008191806_WCH-Jiangsu-Qin-Heng-CH340G_C14267.pdf,CH340G,U16,SOIC-16_3.9x9.9x1.27P,C14267
https://datasheet.lcsc.com/lcsc/1912112237_Microchip-Tech-AT24CS01-SSHM-T_C461563.pdf,AT24CS01-SSHM,U18,SOIC-8,C461563
https://datasheet.lcsc.com/lcsc/2008250208_ON-Semiconductor-MC74VHC1G07DFT2G_C603274.pdf,MC74VHC1G07DFT2G,U2,TSSOP-5,C603274
https://datasheet.lcsc.com/szlcsc/1810010411_Diodes-Incorporated-AP2281-3WG-7_C128634.pdf,AP2281-3WG-7,U22,SOT-26-6,C128634
https://datasheet.lcsc.com/lcsc/1809200830_Microchip-Tech-USB2514B-AEZC-TR_C16251.pdf,USB2514B-AEZC-TR,U23,QFN-36_6x6x05P,C16251
https://datasheet.lcsc.com/lcsc/1809111614_ON-Semiconductor-MC74VHC1G01DFT1G_C150244.pdf,MC74VHC1G01DFT1G,"U3, U24",SOT-353,C150244
https://datasheet.lcsc.com/lcsc/1809192314_Texas-Instruments-TXS0108EPWR_C17206.pdf,TXS0108EPWR,"U5, U6, U9",TSSOP-20_4.4x6.5x0.65P,C17206
https://datasheet.lcsc.com/lcsc/2010150204_Texas-Instruments-TLV62569PDDCR_C398365.pdf,TLV62569PDDC,U7,SOT-23-Thin-6,C398365
https://datasheet.lcsc.com/lcsc/1912112237_Richtek-Tech-RT9193-18GU5_C425792.pdf,RT9193-18GU5,U8,SC70-5,C425792
https://datasheet.lcsc.com/lcsc/2103291204_Yangxing-Tech-X322524MMB4SI_C70583.pdf,X322524MMB4SI,Y1,SMD-3225_4P,C70583
https://datasheet.lcsc.com/szlcsc/Yangxing-Tech-X322512MSB4SI_C9002.pdf,X322512MSB4SI,Y2,SMD-3225_4P,C9002
